      Step     Time          Energy         fmax
BFGS:    0 14:54:00       18.261897       40.7780
BFGS:    1 14:54:00        0.839785       17.0441
BFGS:    2 14:54:00       -2.618392       11.5516
BFGS:    3 14:54:00       -5.020255        3.6654
BFGS:    4 14:54:00       -5.727503        2.0827
BFGS:    5 14:54:00       -6.050272        1.0449
BFGS:    6 14:54:00       -6.155632        0.7168
BFGS:    7 14:54:00       -6.211013        0.6643
BFGS:    8 14:54:00       -6.269424        0.6075
BFGS:    9 14:54:00       -6.341785        0.6421
BFGS:   10 14:54:00       -6.428870        0.8059
BFGS:   11 14:54:00       -6.517207        1.0290
BFGS:   12 14:54:00       -6.556137        0.7239
BFGS:   13 14:54:00       -6.668947        0.6924
BFGS:   14 14:54:00       -6.767656        0.6501
BFGS:   15 14:54:00       -6.792845        0.6300
BFGS:   16 14:54:00       -6.816177        0.5966
BFGS:   17 14:54:00       -6.866339        0.3091
BFGS:   18 14:54:00       -6.876543        0.3107
BFGS:   19 14:54:00       -6.891436        0.3504
BFGS:   20 14:54:00       -6.901174        0.3055
BFGS:   21 14:54:00       -6.913677        0.2257
BFGS:   22 14:54:00       -6.922234        0.2198
BFGS:   23 14:54:00       -6.928770        0.2553
BFGS:   24 14:54:00       -6.936480        0.3516
BFGS:   25 14:54:00       -6.949729        0.3991
BFGS:   26 14:54:00       -6.967512        0.3644
BFGS:   27 14:54:00       -6.989101        0.4431
BFGS:   28 14:54:00       -7.020697        0.6348
BFGS:   29 14:54:00       -7.075676        0.8585
BFGS:   30 14:54:00       -7.105242        1.0050
BFGS:   31 14:54:00       -7.185516        1.1697
BFGS:   32 14:54:00       -7.259326        0.7402
BFGS:   33 14:54:00       -7.332526        0.5549
BFGS:   34 14:54:00       -7.361593        0.3898
BFGS:   35 14:54:00       -7.383858        0.4151
BFGS:   36 14:54:00       -7.407433        0.4074
BFGS:   37 14:54:00       -7.448756        0.4503
BFGS:   38 14:54:00       -7.499155        0.5115
BFGS:   39 14:54:00       -7.579692        0.7344
BFGS:   40 14:54:00       -7.658335        0.9553
BFGS:   41 14:54:00       -7.685151        1.1833
BFGS:   42 14:54:00       -7.743733        0.8122
BFGS:   43 14:54:00       -7.797442        0.7653
BFGS:   44 14:54:00       -7.898741        0.7754
BFGS:   45 14:54:00       -7.952129        0.6227
BFGS:   46 14:54:00       -8.042595        0.6127
BFGS:   47 14:54:00       -8.112682        0.6812
BFGS:   48 14:54:00       -8.161112        0.6463
BFGS:   49 14:54:00       -8.214500        0.6770
BFGS:   50 14:54:00       -8.242519        0.5935
BFGS:   51 14:54:00       -8.273479        0.3518
BFGS:   52 14:54:00       -8.297802        0.3211
BFGS:   53 14:54:00       -8.316637        0.3300
BFGS:   54 14:54:00       -8.339987        0.3629
BFGS:   55 14:54:00       -8.351709        0.2827
BFGS:   56 14:54:00       -8.364189        0.3377
BFGS:   57 14:54:00       -8.380339        0.4220
BFGS:   58 14:54:00       -8.403076        0.4230
BFGS:   59 14:54:00       -8.424354        0.4602
BFGS:   60 14:54:00       -8.441132        0.4560
BFGS:   61 14:54:00       -8.453985        0.3571
BFGS:   62 14:54:00       -8.469208        0.2947
BFGS:   63 14:54:00       -8.478905        0.3021
BFGS:   64 14:54:00       -8.484939        0.3007
BFGS:   65 14:54:00       -8.490748        0.2895
BFGS:   66 14:54:00       -8.500229        0.2940
BFGS:   67 14:54:00       -8.517775        0.3170
BFGS:   68 14:54:00       -8.526615        0.2877
BFGS:   69 14:54:00       -8.530764        0.2856
BFGS:   70 14:54:00       -8.535284        0.2389
BFGS:   71 14:54:00       -8.541329        0.2206
BFGS:   72 14:54:00       -8.552149        0.3487
BFGS:   73 14:54:00       -8.565052        0.3994
BFGS:   74 14:54:00       -8.575787        0.4002
BFGS:   75 14:54:00       -8.582284        0.3310
BFGS:   76 14:54:00       -8.587705        0.2790
BFGS:   77 14:54:00       -8.594885        0.2099
BFGS:   78 14:54:00       -8.602556        0.1477
BFGS:   79 14:54:00       -8.607100        0.1201
BFGS:   80 14:54:00       -8.609377        0.0979
BFGS:   81 14:54:00       -8.610215        0.0904
BFGS:   82 14:54:00       -8.611355        0.0788
BFGS:   83 14:54:00       -8.612772        0.0580
BFGS:   84 14:54:00       -8.613830        0.0336
      Step     Time          Energy         fmax
BFGS:    0 14:54:01       18.694884       47.6345
BFGS:    1 14:54:01       -0.799938       15.3984
BFGS:    2 14:54:01       -3.961107        9.7242
BFGS:    3 14:54:01       -6.017097        2.7333
