       Step     Time          Energy         fmax
GPMin:    0 16:22:13       -5.164490        0.2460
GPMin:    1 16:22:18       -5.285047        0.2253
GPMin:    2 16:22:23       -5.352064        0.1823
GPMin:    3 16:22:28       -5.409085        0.1384
GPMin:    4 16:22:32       -5.444739        0.0755
GPMin:    5 16:22:37       -5.457943        0.0337
GPMin:    6 16:22:41       -5.460913        0.0271
GPMin:    7 16:22:44       -5.464857        0.0253
GPMin:    8 16:22:49       -5.469575        0.0199
       Step     Time          Energy         fmax
GPMin:    0 16:22:56       -5.481394        0.2789
GPMin:    1 16:23:01       -5.557975        0.1681
GPMin:    2 16:23:06       -5.603488        0.0779
GPMin:    3 16:23:11       -5.621930        0.0651
GPMin:    4 16:23:15       -5.641345        0.0735
GPMin:    5 16:23:20       -5.672047        0.0858
GPMin:    6 16:23:25       -5.709615        0.0914
GPMin:    7 16:23:30       -5.741474        0.0625
GPMin:    8 16:23:34       -5.758715        0.0549
GPMin:    9 16:23:39       -5.769055        0.0563
GPMin:   10 16:23:43       -5.781229        0.0591
GPMin:   11 16:23:48       -5.803573        0.0651
GPMin:   12 16:23:52       -5.828947        0.0724
GPMin:   13 16:23:57       -5.853309        0.0598
GPMin:   14 16:24:01       -5.866379        0.0329
GPMin:   15 16:24:05       -5.870098        0.0241
GPMin:   16 16:24:09       -5.872328        0.0182
       Step     Time          Energy         fmax
GPMin:    0 16:24:16       -5.144081        0.6367
GPMin:    1 16:24:21       -5.405331        0.2113
GPMin:    2 16:24:26       -5.466086        0.1851
GPMin:    3 16:24:31       -5.519726        0.1252
GPMin:    4 16:24:35       -5.556909        0.0757
GPMin:    5 16:24:40       -5.566215        0.0713
GPMin:    6 16:24:44       -5.573803        0.0576
GPMin:    7 16:24:48       -5.584809        0.0566
GPMin:    8 16:24:52       -5.596911        0.0516
GPMin:    9 16:24:57       -5.609760        0.0437
GPMin:   10 16:25:01       -5.620883        0.0513
GPMin:   11 16:25:05       -5.632264        0.0574
GPMin:   12 16:25:10       -5.647397        0.0714
GPMin:   13 16:25:14       -5.666935        0.0831
GPMin:   14 16:25:18       -5.691683        0.0758
GPMin:   15 16:25:23       -5.711811        0.0583
GPMin:   16 16:25:27       -5.720811        0.0399
GPMin:   17 16:25:31       -5.723718        0.0229
GPMin:   18 16:25:35       -5.724906        0.0177
       Step     Time          Energy         fmax
GPMin:    0 16:25:42       -5.554672        0.1743
GPMin:    1 16:25:47       -5.626740        0.0949
GPMin:    2 16:25:52       -5.649809        0.0817
GPMin:    3 16:25:57       -5.671629        0.0646
GPMin:    4 16:26:01       -5.684060        0.0366
GPMin:    5 16:26:06       -5.694596        0.0433
GPMin:    6 16:26:10       -5.702531        0.0386
GPMin:    7 16:26:15       -5.709370        0.0330
GPMin:    8 16:26:19       -5.713642        0.0196
       Step     Time          Energy         fmax
GPMin:    0 16:26:25       -5.359300        0.4041
GPMin:    1 16:26:31       -5.453545        0.1014
GPMin:    2 16:26:35       -5.480181        0.0846
GPMin:    3 16:26:40       -5.494710        0.0572
GPMin:    4 16:26:44       -5.508179        0.0511
GPMin:    5 16:26:49       -5.533835        0.0633
GPMin:    6 16:26:54       -5.555954        0.0607
GPMin:    7 16:26:59       -5.569288        0.0374
GPMin:    8 16:27:03       -5.574539        0.0368
GPMin:    9 16:27:07       -5.585858        0.0471
GPMin:   10 16:27:11       -5.603043        0.0538
GPMin:   11 16:27:16       -5.627050        0.0706
GPMin:   12 16:27:20       -5.657112        0.0827
