       Step     Time          Energy         fmax
GPMin:    0 16:49:44       -6.398551        0.7120
GPMin:    1 16:49:54       -6.725272        0.2983
GPMin:    2 16:50:03       -6.833017        0.2267
GPMin:    3 16:50:11       -6.900611        0.1650
GPMin:    4 16:50:19       -6.955605        0.1419
GPMin:    5 16:50:26       -6.993500        0.1055
GPMin:    6 16:50:33       -7.023640        0.0930
GPMin:    7 16:50:39       -7.056525        0.0863
GPMin:    8 16:50:47       -7.083261        0.0731
GPMin:    9 16:50:53       -7.098614        0.0657
GPMin:   10 16:50:59       -7.107238        0.0606
GPMin:   11 16:51:07       -7.116977        0.0613
GPMin:   12 16:51:14       -7.129063        0.0539
GPMin:   13 16:51:21       -7.140096        0.0435
GPMin:   14 16:51:28       -7.147712        0.0448
GPMin:   15 16:51:35       -7.150507        0.0390
GPMin:   16 16:51:41       -7.153465        0.0402
GPMin:   17 16:51:48       -7.158288        0.0467
GPMin:   18 16:51:55       -7.168327        0.0625
GPMin:   19 16:52:02       -7.186386        0.0732
GPMin:   20 16:52:09       -7.209474        0.0806
GPMin:   21 16:52:17       -7.238433        0.0727
GPMin:   22 16:52:24       -7.262556        0.0531
GPMin:   23 16:52:30       -7.273603        0.0473
GPMin:   24 16:52:37       -7.276691        0.0355
GPMin:   25 16:52:43       -7.278808        0.0210
GPMin:   26 16:52:49       -7.279720        0.0153
       Step     Time          Energy         fmax
GPMin:    0 16:52:59       -6.800746        0.1812
GPMin:    1 16:53:07       -6.871568        0.0747
GPMin:    2 16:53:14       -6.908062        0.0831
GPMin:    3 16:53:21       -6.978582        0.1015
GPMin:    4 16:53:28       -7.050559        0.0984
GPMin:    5 16:53:35       -7.105273        0.0666
GPMin:    6 16:53:42       -7.126693        0.0370
GPMin:    7 16:53:48       -7.132000        0.0258
GPMin:    8 16:53:55       -7.136578        0.0316
GPMin:    9 16:54:01       -7.143249        0.0207
GPMin:   10 16:54:07       -7.147340        0.0187
       Step     Time          Energy         fmax
GPMin:    0 16:54:19       -6.152548        0.5685
GPMin:    1 16:54:27       -6.531566        0.2809
GPMin:    2 16:54:35       -6.665800        0.2566
GPMin:    3 16:54:42       -6.764739        0.1991
GPMin:    4 16:54:49       -6.833526        0.0947
GPMin:    5 16:54:56       -6.849541        0.0178
       Step     Time          Energy         fmax
GPMin:    0 16:55:07       -6.297466        0.4690
GPMin:    1 16:55:16       -6.488514        0.2408
GPMin:    2 16:55:24       -6.623808        0.2213
GPMin:    3 16:55:32       -6.745336        0.1866
GPMin:    4 16:55:40       -6.836562        0.1554
GPMin:    5 16:55:48       -6.902311        0.1298
GPMin:    6 16:55:55       -6.945688        0.0918
GPMin:    7 16:56:02       -6.969254        0.0692
GPMin:    8 16:56:08       -6.980299        0.0556
GPMin:    9 16:56:14       -6.987258        0.0548
GPMin:   10 16:56:20       -6.993301        0.0547
GPMin:   11 16:56:27       -7.000184        0.0396
GPMin:   12 16:56:33       -7.009493        0.0445
GPMin:   13 16:56:39       -7.021777        0.0516
GPMin:   14 16:56:46       -7.038141        0.0533
GPMin:   15 16:56:54       -7.057871        0.0607
GPMin:   16 16:57:02       -7.078975        0.0658
GPMin:   17 16:57:09       -7.099008        0.0589
GPMin:   18 16:57:16       -7.116853        0.0498
GPMin:   19 16:57:23       -7.129953        0.0484
GPMin:   20 16:57:30       -7.137629        0.0366
GPMin:   21 16:57:36       -7.140706        0.0254
GPMin:   22 16:57:43       -7.142408        0.0209
GPMin:   23 16:57:49       -7.143760        0.0205
GPMin:   24 16:57:55       -7.145468        0.0215
GPMin:   25 16:58:01       -7.148040        0.0265
GPMin:   26 16:58:08       -7.151021        0.0320
GPMin:   27 16:58:14       -7.155861        0.0383
GPMin:   28 16:58:20       -7.164678        0.0483
GPMin:   29 16:58:27       -7.179793        0.0598
GPMin:   30 16:58:35       -7.200941        0.0674
GPMin:   31 16:58:42       -7.225822        0.0777
GPMin:   32 16:58:49       -7.251130        0.0711
GPMin:   33 16:58:56       -7.268441        0.0463
GPMin:   34 16:59:02       -7.274158        0.0361
GPMin:   35 16:59:09       -7.275638        0.0292
GPMin:   36 16:59:15       -7.278007        0.0202
GPMin:   37 16:59:20       -7.278826        0.0225
GPMin:   38 16:59:27       -7.279959        0.0166
       Step     Time          Energy         fmax
GPMin:    0 16:59:39       -6.546829        0.4436
GPMin:    1 16:59:47       -6.741343        0.2132
GPMin:    2 16:59:54       -6.830492        0.1873
GPMin:    3 17:00:02       -6.885434        0.0921
GPMin:    4 17:00:09       -6.902478        0.0565
GPMin:    5 17:00:15       -6.918572        0.0575
GPMin:    6 17:00:22       -6.939371        0.0668
GPMin:    7 17:00:29       -6.965638        0.0700
GPMin:    8 17:00:35       -6.994912        0.0774
GPMin:    9 17:00:42       -7.025918        0.0848
GPMin:   10 17:00:49       -7.057979        0.0822
GPMin:   11 17:00:56       -7.083883        0.0610
GPMin:   12 17:01:03       -7.096349        0.0257
GPMin:   13 17:01:09       -7.098427        0.0216
GPMin:   14 17:01:15       -7.099959        0.0200
       Step     Time          Energy         fmax
