      Step     Time          Energy         fmax
BFGS:    0 14:53:36       15.568326       33.2739
BFGS:    1 14:53:36        2.813693       10.6403
BFGS:    2 14:53:36       -1.108348        9.5353
BFGS:    3 14:53:36       -3.006793        2.8757
BFGS:    4 14:53:36       -3.394165        1.9998
BFGS:    5 14:53:36       -3.684384        0.9616
BFGS:    6 14:53:36       -3.747611        0.5815
BFGS:    7 14:53:36       -3.772658        0.4335
BFGS:    8 14:53:36       -3.797002        0.4997
BFGS:    9 14:53:36       -3.851358        0.6736
BFGS:   10 14:53:36       -3.990047        0.9626
BFGS:   11 14:53:36       -4.140969        1.1243
BFGS:   12 14:53:36       -4.215784        1.1343
BFGS:   13 14:53:36       -4.270542        1.1064
BFGS:   14 14:53:36       -4.401695        1.1182
BFGS:   15 14:53:36       -4.501233        1.5164
BFGS:   16 14:53:36       -4.614922        1.0924
BFGS:   17 14:53:36       -4.750404        1.5928
BFGS:   18 14:53:36       -4.921990        0.6286
BFGS:   19 14:53:36       -4.986832        0.6938
BFGS:   20 14:53:36       -5.017631        0.6157
BFGS:   21 14:53:36       -5.060756        0.5318
BFGS:   22 14:53:36       -5.085175        0.6719
BFGS:   23 14:53:36       -5.144084        0.8051
BFGS:   24 14:53:36       -5.188467        0.6153
BFGS:   25 14:53:36       -5.214170        0.5467
BFGS:   26 14:53:36       -5.244653        0.5913
BFGS:   27 14:53:36       -5.305659        0.6585
BFGS:   28 14:53:36       -5.372191        0.8535
BFGS:   29 14:53:36       -5.416558        0.8032
BFGS:   30 14:53:36       -5.459826        0.8010
BFGS:   31 14:53:36       -5.529631        0.7172
BFGS:   32 14:53:36       -5.641199        1.5796
BFGS:   33 14:53:36       -5.755891        0.8440
BFGS:   34 14:53:36       -5.846246        0.8779
BFGS:   35 14:53:36       -5.985939        1.7277
BFGS:   36 14:53:36       -6.127952        1.2360
BFGS:   37 14:53:36       -6.291244        1.1950
BFGS:   38 14:53:36       -6.396162        0.5429
BFGS:   39 14:53:36       -6.430840        0.5936
BFGS:   40 14:53:36       -6.465710        0.4499
BFGS:   41 14:53:36       -6.485739        0.4261
BFGS:   42 14:53:36       -6.582232        0.6604
BFGS:   43 14:53:36       -6.624563        0.5989
BFGS:   44 14:53:36       -6.672477        0.3384
BFGS:   45 14:53:36       -6.679597        0.3247
BFGS:   46 14:53:36       -6.688644        0.3302
BFGS:   47 14:53:36       -6.724305        0.4208
BFGS:   48 14:53:36       -6.757424        0.4065
BFGS:   49 14:53:36       -6.775819        0.3394
BFGS:   50 14:53:36       -6.790623        0.2952
BFGS:   51 14:53:36       -6.795762        0.3138
BFGS:   52 14:53:36       -6.810643        0.3767
BFGS:   53 14:53:36       -6.826571        0.4515
BFGS:   54 14:53:36       -6.861763        0.5225
BFGS:   55 14:53:36       -6.865186        0.7497
BFGS:   56 14:53:36       -6.907321        0.6171
BFGS:   57 14:53:36       -6.942937        0.6003
BFGS:   58 14:53:36       -6.997521        0.6262
BFGS:   59 14:53:36       -7.028115        0.4007
BFGS:   60 14:53:36       -7.041592        0.2280
BFGS:   61 14:53:36       -7.049833        0.1868
BFGS:   62 14:53:36       -7.053725        0.1768
BFGS:   63 14:53:36       -7.061268        0.1916
BFGS:   64 14:53:36       -7.066191        0.2324
BFGS:   65 14:53:36       -7.073135        0.2762
BFGS:   66 14:53:36       -7.081182        0.2828
BFGS:   67 14:53:36       -7.091878        0.2782
BFGS:   68 14:53:36       -7.104091        0.3010
BFGS:   69 14:53:36       -7.118092        0.3727
BFGS:   70 14:53:36       -7.126909        0.3944
BFGS:   71 14:53:36       -7.133467        0.3527
BFGS:   72 14:53:36       -7.143747        0.1994
BFGS:   73 14:53:36       -7.151908        0.1493
BFGS:   74 14:53:36       -7.154605        0.1000
BFGS:   75 14:53:36       -7.156079        0.1057
BFGS:   76 14:53:36       -7.156904        0.1047
BFGS:   77 14:53:36       -7.158041        0.0719
BFGS:   78 14:53:36       -7.158663        0.0390
      Step     Time          Energy         fmax
BFGS:    0 14:53:36       14.916092       38.4668
BFGS:    1 14:53:36        1.599445       16.3337
BFGS:    2 14:53:36       -1.379063       12.9023
BFGS:    3 14:53:36       -4.163038        3.0041
BFGS:    4 14:53:36       -4.547962        1.7650
BFGS:    5 14:53:36       -4.867230        0.8960
BFGS:    6 14:53:36       -4.955478        0.7290
BFGS:    7 14:53:36       -5.000486        0.7064
BFGS:    8 14:53:36       -5.039948        0.6750
BFGS:    9 14:53:36       -5.088995        0.5710
BFGS:   10 14:53:36       -5.134073        0.5532
BFGS:   11 14:53:36       -5.194750        0.7589
BFGS:   12 14:53:36       -5.222822        0.7100
BFGS:   13 14:53:36       -5.253999        0.7554
BFGS:   14 14:53:36       -5.407121        1.1045
BFGS:   15 14:53:36       -5.499805        1.0593
BFGS:   16 14:53:36       -5.578769        1.0111
BFGS:   17 14:53:36       -5.615617        0.7068
BFGS:   18 14:53:36       -5.690779        0.6566
BFGS:   19 14:53:36       -5.623878        2.6292
BFGS:   20 14:53:36       -5.789417        0.5546
BFGS:   21 14:53:36       -5.815001        0.5098
BFGS:   22 14:53:36       -5.859651        0.9384
BFGS:   23 14:53:36       -5.882778        0.7533
BFGS:   24 14:53:36       -5.942220        0.5221
BFGS:   25 14:53:36       -5.956330        0.3667
BFGS:   26 14:53:36       -5.968432        0.3184
BFGS:   27 14:53:36       -5.986451        0.3083
BFGS:   28 14:53:36       -6.000394        0.4310
BFGS:   29 14:53:36       -6.019200        0.6030
BFGS:   30 14:53:36       -6.041981        0.7099
BFGS:   31 14:53:36       -6.078231        0.7118
BFGS:   32 14:53:36       -6.099707        0.4930
BFGS:   33 14:53:36       -6.126497        0.3858
BFGS:   34 14:53:36       -6.153727        0.3170
BFGS:   35 14:53:36       -6.165177        0.3835
BFGS:   36 14:53:36       -6.171020        0.2974
BFGS:   37 14:53:36       -6.174870        0.1911
BFGS:   38 14:53:36       -6.177352        0.1423
BFGS:   39 14:53:36       -6.182713        0.1282
BFGS:   40 14:53:36       -6.184528        0.0879
BFGS:   41 14:53:36       -6.185170        0.0935
BFGS:   42 14:53:36       -6.185535        0.0878
BFGS:   43 14:53:36       -6.186311        0.0696
BFGS:   44 14:53:36       -6.187288        0.0679
BFGS:   45 14:53:36       -6.188148        0.0795
BFGS:   46 14:53:36       -6.188609        0.0733
BFGS:   47 14:53:36       -6.188905        0.0622
BFGS:   48 14:53:36       -6.189378        0.0721
BFGS:   49 14:53:36       -6.190304        0.0852
BFGS:   50 14:53:36       -6.191651        0.0878
BFGS:   51 14:53:36       -6.192840        0.0817
