       Step     Time          Energy         fmax
GPMin:    0 15:42:35       -4.261805        1.3776
GPMin:    1 15:42:43       -5.216071        0.6338
GPMin:    2 15:42:50       -5.578774        0.2998
GPMin:    3 15:42:56       -5.698275        0.1232
GPMin:    4 15:43:02       -5.715466        0.0553
GPMin:    5 15:43:07       -5.717847        0.0473
GPMin:    6 15:43:14       -5.726666        0.0244
GPMin:    7 15:43:19       -5.729085        0.0135
       Step     Time          Energy         fmax
GPMin:    0 15:43:29       -3.972348        1.4114
GPMin:    1 15:43:37       -4.953038        0.6833
GPMin:    2 15:43:44       -5.337977        0.3194
GPMin:    3 15:43:51       -5.477658        0.1310
GPMin:    4 15:43:58       -5.503432        0.0469
GPMin:    5 15:44:04       -5.504746        0.0466
GPMin:    6 15:44:10       -5.517700        0.0481
GPMin:    7 15:44:16       -5.523380        0.0500
GPMin:    8 15:44:23       -5.538949        0.2455
GPMin:    9 15:44:29       -5.565706        0.1132
GPMin:   10 15:44:36       -5.571483        0.0636
GPMin:   11 15:44:41       -5.578834        0.0450
GPMin:   12 15:44:49       -5.603611        0.0797
GPMin:   13 15:44:56       -5.605108        0.1112
GPMin:   14 15:45:01       -5.610258        0.0970
GPMin:   15 15:45:07       -5.628551        0.0834
GPMin:   16 15:45:13       -5.643347        0.0836
GPMin:   17 15:45:19       -5.663862        0.0806
GPMin:   18 15:45:24       -5.687830        0.0738
GPMin:   19 15:45:30       -5.720299        0.0735
GPMin:   20 15:45:36       -5.751003        0.0826
GPMin:   21 15:45:42       -5.784375        0.0905
GPMin:   22 15:45:48       -5.816791        0.0885
GPMin:   23 15:45:55       -5.844134        0.0695
GPMin:   24 15:46:01       -5.861816        0.0419
GPMin:   25 15:46:08       -5.868496        0.0225
GPMin:   26 15:46:13       -5.869809        0.0237
GPMin:   27 15:46:18       -5.871181        0.0193
       Step     Time          Energy         fmax
GPMin:    0 15:46:28       -4.290404        1.5335
GPMin:    1 15:46:34       -5.325165        0.7217
GPMin:    2 15:46:40       -5.723630        0.3108
GPMin:    3 15:46:45       -5.856594        0.0972
GPMin:    4 15:46:51       -5.873091        0.0164
       Step     Time          Energy         fmax
GPMin:    0 15:47:04       -3.659328        1.3712
GPMin:    1 15:47:13       -4.603073        0.7287
GPMin:    2 15:47:22       -4.987248        0.4220
GPMin:    3 15:47:30       -5.142512        0.2556
GPMin:    4 15:47:37       -5.188379        0.1950
GPMin:    5 15:47:45       -5.196004        0.2318
GPMin:    6 15:47:54       -5.226203        0.1640
GPMin:    7 15:47:59       -5.230610        0.1578
GPMin:    8 15:48:15       -5.333074        0.2077
GPMin:    9 15:48:22       -5.364590        0.2060
GPMin:   10 15:48:29       -5.420443        0.1884
GPMin:   11 15:48:35       -5.483293        0.1642
GPMin:   12 15:48:42       -5.547211        0.1587
GPMin:   13 15:48:49       -5.612089        0.1804
GPMin:   14 15:48:55       -5.681185        0.1802
GPMin:   15 15:49:02       -5.748098        0.1585
GPMin:   16 15:49:09       -5.802109        0.1162
GPMin:   17 15:49:15       -5.838299        0.0835
